ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3884988,425000,57.0,2,Łódź Bałuty,ul. Północna,Mieszkanie,Tak,"Sprzedam rozkładowe M3 w ścisłym centrum miasta (10 minut pieszo przez park od Manufaktury), przy ulicy Północnej.

Mieszkanie jest dwustronne (wschód-zachód), z dobrym rozkładem, o powierzchni 57,62 m2.

Budynek wybudowany na przełomie lat 50/60-tych jest po termomodernizacji, ma ocieplone ściany, ...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-polnocna-2-pokojowe-d7j3u5
3884858,520000,62.0,2,Łódź Widzew,ul. mjr. Eugeniusza Nurta-Kaszyńskiego,Mieszkanie,Tak,"OGŁOSZENIE BEZPOŚREDNIE - BEZ PROWIZJI

Zlokalizowane na idealnym pierwszym piętrze, to 61,8-metrowe mieszkanie jest kwintesencją przemyślanego designu.
Zapomnij o ciasnych kuchniach - tutaj sercem domu jest spektakularna, 16-metrowa kuchnia-jadalnia. Jej unikalny charakter tworzą meble wykonane z p...",https://adresowo.pl/o/mieszkanie-lodz-widzew-ul-mjr-eugeniusza-nurta-kaszynskiego-2-pokojowe-x6u7t5
3884776,349000,31.0,2,Łódź Górna,ul. Płocka,Mieszkanie,Tak,"[bezpośrednio] Sprzedam mieszkanie własnościowe, Łódź Górna, ul. Płocka.
Powierzchnia 31,43m2.
Dostępne od zaraz, do własnej aranżacji.
Pośrednikom i biurom nieruchomości - serdecznie dziękuję za kontakt.
Mieszkanie oddane do użytku jako stan deweloperski w 2021 roku.
Wymieniona instalacja elektrycz...",https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-plocka-2-pokojowe-n3c3e0
3884366,350000,44.0,2,Łódź Bałuty,ul. Urzędnicza,Mieszkanie,Tak,"Witam.
Na sprzedaż dwupokojowe mieszkanie do remontu - Łódź, Bałuty (ul. Urzędnicza).

O powierzchni 44 m², zlokalizowane w wieżowcu na 1. piętrze, przy ul. Urzędniczej w Łodzi.

W skład mieszkania wchodzą:
dwa pokoje,
kuchnia,
łazienka,
osobne WC,
przedpokój,
balkon,
komórka lokatorska.

Z okien or...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-urzednicza-2-pokojowe-n6l7e9
3884102,249000,37.0,2,Łódź,Bałuty,Mieszkanie,Tak,"Mieszkanie 2-pokojowe z balkonem o powierzchni 37,48m2, znajdujące się na 4 piętrze w bloku 4-piętrowym.
Składa się z 2 pokoi, kuchni oraz łazienki z WC, do generalnego remontu (poza oknami).
Świetna lokalizacja, w pobliżu liczne sklepy, w tym Lidl, szkoły, przedszkola, komunikacja miejska.
Mieszkan...",https://adresowo.pl/o/mieszkanie-lodz-baluty-2-pokojowe-37-m2-n5x2f4
3883914,270000,50.0,2,Łódź Śródmieście,ul. Nawrot,Mieszkanie,Tak,"Mieszkanie 50 m2 w centrum Łodzi przy ulicy Nawrot 59, do remontu.

Powierzchnia: 50 m2
Lokalizacja: Centrum Łodzi, ul. Nawrot 59
Stan: Do remontu

Szczegóły:
- Komórka lokatorska: 2,7 m2
- Ogrzewanie: elektryczne (centralne ogrzewanie planowane na przyszły rok)
- Wejścia do mieszkania: osobne, 2 we...",https://adresowo.pl/o/mieszkanie-lodz-srodmiescie-ul-nawrot-2-pokojowe-d0r7r3
3883314,490000,38.0,2,Łódź Nowe Złotno,ul. Rąbieńska,Mieszkanie,Tak,"Witam, sprzedam mieszkanie wyremontowane oraz w pełni umeblowane na nowym zlotnie o powierzchni 38m dwa pokoje.Duży balkon 9m. Do mieszkania przypisane jest jedno miejsce parkingowe pod samą klatka cena miejsca 50tyś. Możliwość dokupienia również drugiego miesiąca . Mieszkanie znajduje się na pierws...",https://adresowo.pl/o/mieszkanie-lodz-nowe-zlotno-ul-rabienska-2-pokojowe-x2d1w8
3883180,305000,43.0,2,Łódź Karolew,ul. Wileńska,Mieszkanie,Tak,"Sprzedam mieszkanie własnościowe spółdzielcze na Karolewie ul. Wileńska.
Mieszkanie w pełni rozkładowe: 2 pokoje, kuchnia, łazienka, balkon, plus dodatkowo około 3 metrów kwadratowych pomieszczenie piwniczne.
Położone jest w bardzo ładnej i cichej okolicy, z okien widok na ogródki działkowe.
W pobli...",https://adresowo.pl/o/mieszkanie-lodz-karolew-ul-wilenska-2-pokojowe-c4b6q1
3883064,309000,43.0,2,Łódź Bałuty,ul. Wawelska,Mieszkanie,Tak,"Witam serdecznie,
Na sprzedaż dwupokojowe rozkładowe mieszkanie o pow. 43,06m2 w bloku z cegły przy ulicy Wawelskiej w Łodzi - okolice Bałuckiego Rynku.
Mieszkanie zlokalizowane jest na 4. piętrze w bloku czteropiętrowym, posiada 2 pokoje, kuchnię, łazienkę oraz balkon.
Do mieszkania przypisana jest...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-wawelska-2-pokojowe-g4n1k2
3883040,345000,44.0,2,Łódź Górna,ul. Stanisława Brzozowskiego,Mieszkanie,Tak,"Ogłoszenie bezpośrednio od właściciela - pośrednikom dziękuję.

Na sprzedaż: rozkładowe mieszkanie 44,35 m² przy ul. Brzozowskiego - do zamieszkania.
Usytuowane na czwartym piętrze w bloku w doskonałej lokalizacji.

W skład mieszkania wchodzą:
- oddzielna kuchnia z meblami na wymiar (lakier połysk) ...",https://adresowo.pl/o/mieszkanie-lodz-gorna-ul-stanislawa-brzozowskiego-2-pokojowe-c4k8u2
