ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3928394,1006000,65.0,3,Kraków Prądnik Biały,ul. Kuźnicy Kołłątajowskiej,Mieszkanie,Tak,"Na sprzedaż przestronne, bardzo jasne mieszkanie o powierzchni 65 m² (dodatkowo z balkonem), położone na północy Krakowa, w dynamicznie rozwijającej się dzielnicy Prądnik Biały. Lokal znajduje się na 4. piętrze budynku otoczonego zadbaną zielenią.

Do mieszkania przynależy miejsce w garażu podziemny...",https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-kuznicy-kollatajowskiej-3-pokojowe-u8h4y0
3927234,730000,44.0,2,Kraków Podgórze,ul. Lipska,Mieszkanie,Tak,"Do sprzedania piękne, funkcjonalne mieszkanie znajdujące się przy ul. Lipskiej w Krakowie.
Mieszkanie ma 44,70 m2 + balkon loggia. Do mieszkania przynależy piwnica. Piętro 4/4.

Mieszkanie składa się z:
- przedpokoju 4,30 m2 z szafą lustrzaną z drzwiami przesuwnymi
- salonu 17,70 m2
- kuchni 8,20 m2...",https://adresowo.pl/o/mieszkanie-krakow-podgorze-ul-lipska-2-pokojowe-h9d2b7
3927112,755000,52.0,3,Kraków Żabiniec,ul. Mikołaja Reja,Mieszkanie,Tak,"Oferuję bezpośrednio na sprzedaż mieszkanie o powierzchni 52 m².
Znajduje się na parterze w bloku przy ul. Reja 19.

Mieszkanie składa się z 3 pokoi i jest świeżo umeblowane.
Dwie sypialnie i pokój z aneksem kuchennym.
Posiada dwa balkony z widokiem na ogród.
Mieszkanie jest świeżo po generalnym rem...",https://adresowo.pl/o/mieszkanie-krakow-zabiniec-ul-mikolaja-reja-3-pokojowe-b7t1s4
3923294,356000,25.0,1,Kraków Prądnik Czerwony,ul. Ułanów,Mieszkanie,Nie,"Oferujemy do sprzedaży lokal usługowy przy ulicy Ułanów na Prądniku Czerwonym.   

 Opis nieruchomości: 

 
 Kawalerka o powierzchni 25 m² 
 Zlokalizowana w piwnicy budynku 
 Po remoncie, gotowa do zamieszkania 
 Idealna propozycja pod wynajem krótko- lub długoterminowy 
 Doskonała lokalizacja, blis...",https://adresowo.pl/o/mieszkanie-krakow-pradnik-czerwony-ul-ulanow-1-pokoj-p7q1a8
3922818,830000,56.0,3,Kraków Krowodrza,ul. Krowoderskich Zuchów,Mieszkanie,Nie,"| 
  3-pokojowe mieszkanie 56,7 m² | ul. Krowoderskich Zuchów | + piwnica  

 Na sprzedaż funkcjonalne mieszkanie o powierzchni  56,7 m² , położone przy ul.  Krowoderskich Zuchów  w Krakowie, w doskonale skomunikowanej i zielonej okolicy. 

  Układ i powierzchnia:  

 - 3 ustawne pokoje 

 - kuchnia...",https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-krowoderskich-zuchow-3-pokojowe-l1e4v8
3926718,190000,14.0,1,Kraków,Nowa Huta,Mieszkanie,Tak,"Kraków - Nowa Huta, os. Stoki. Sprzedam kawalerkę o powierzchni 14 m2. Cena: 190 tys. zł (udział). Mieszkanie jest umeblowane, posiada pomieszczenie gospodarcze 4 m2 (do wykończenia) oraz balkon 3 m2. Usytuowana na pierwszym piętrze. Do kawalerki przynależy ogród. Lokalizacja: spokojna okolica z dom...",https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-1-pokoj-14-m2-b6k2y0
3926666,810000,39.0,2,Kraków Krowodrza,pl. Plac Inwalidów,Mieszkanie,Tak,"Sprzedam przestronne mieszkanie o powierzchni 39 m² w Krakowie. Mieszkanie znajduje się na trzecim piętrze w budynku. W skład lokalu wchodzą dwa pokoje, oddzielna kuchnia, łazienka, przedpokój oraz piwnica. Ogrzewanie miejskie. Mieszkanie jest gotowe do zamieszkania. Mieszkanie po generalnym remonci...",https://adresowo.pl/o/mieszkanie-krakow-krowodrza-pl-plac-inwalidow-2-pokojowe-g9f8x4
3926418,629000,30.0,1,Kraków Stare Miasto,ul. Starowiślna,Mieszkanie,Tak,"POŚREDNIKOM DZIĘKUJEMY!!!!!!

Na sprzedaż wyjątkowe mieszkanie o powierzchni 30m2, zlokalizowane na 5 piętrze w zadbanej kamienicy z windą przy ul. Starowiślnej (Pogranicze Starego Miasta i Kazimierza).

Dlaczego to doskonała oferta?
- Lokalizacja: Serce Krakowa, gwarantujące stały wzrost wartości n...",https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-starowislna-1-pokoj-e5b8x2
3921662,795000,64.0,3,Kraków Nowa Huta,os. Centrum B,Mieszkanie,Nie,"Mamy przyjemność zaprezentować Państwu na sprzedaż mieszkanie w doskonałej lokalizacji w centrum starej części Nowej Huty. OKOLICA: Okolica doskonale skomunikowana, do przystanków komunikacji miejskiej zaledwie kilka minut piechotą. W pobliżu wszystko co potrzebne, bardzo dobrze rozwinięta infrastru...",https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-centrum-b-3-pokojowe-k0z0g1
3921636,569000,21.0,1,Kraków Stare Miasto,ul. marsz. Józefa Piłsudskiego,Mieszkanie,Nie,"| 
  STARE MIASTO - KAWALERKA -  MIESZKANIE 1 POKOJOWE - UL. PIŁSUDSKIEGO   
   5 MINUT SPACEREM OD RYNKU GŁÓWNEGO!     
 
Na sprzedaż mieszkanie 1- pokojowe o pow.21,5 m2 zlokalizowane w odrestaurowanej kamienicy zwanej  Pałacem Ekielskiego  a także  Domem o Dwóch Frontach.  
To zabytkowa kamienica...",https://adresowo.pl/o/mieszkanie-krakow-stare-miasto-ul-marsz-jozefa-pilsudskiego-1-pokoj-q5x3d0
3926376,639000,40.0,3,Kraków Nowa Huta,os. Na Stoku,Mieszkanie,Tak,"Na sprzedaż wyjątkowe, dopracowane w każdym detalu mieszkanie zlokalizowane na parterze. To idealna propozycja dla osób poszukujących komfortu oraz doskonałej lokalizacji.

W skład mieszkania wchodzą:
- Nowoczesny salon z aneksem kuchennym (zabudowa pod wymiar)
- 2 ustawne sypialnie
- Elegancka łazi...",https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-na-stoku-3-pokojowe-m1u4q7
3926240,629000,41.0,3,Kraków Wzgórza Krzesławickie,os. Na Stoku,Mieszkanie,Tak,"Na sprzedaż 3-pokojowe mieszkanie gotowe do wprowadzenia.

Składa się z przestronnego salonu z aneksem kuchennym oraz dwóch sypialni (większej i mniejszej).

W mieszkaniu wykonano zabudowy na wymiar - liczne szafy i szafki zapewniają dużo miejsca do przechowywania.

Kolorystyka beżu, kaszmiru w połą...",https://adresowo.pl/o/mieszkanie-krakow-wzgorza-krzeslawickie-os-na-stoku-3-pokojowe-s6o8g3
3925944,770000,54.0,3,Kraków Swoszowice,ul. Władysława Taklińskiego,Mieszkanie,Tak,"Witam,
sprzedam mieszkanie 54,5 m2 z garażem murowanym wolnostojącym.

- mieszkanie gotowe do wejścia.
- kuchnia wyposażona w meble i AGD.
- ogrzewanie gazowe, kotłownia w bloku.
- ciepła woda miejska.
- niski czynsz 470 zł.
- wygodne pokoje.
- zadbany balkon około 7m2.
- drzwi antywłamaniowe.
- par...",https://adresowo.pl/o/mieszkanie-krakow-swoszowice-ul-wladyslawa-taklinskiego-3-pokojowe-g2v0d9
3921624,899000,82.0,3,Kraków Krowodrza,ul. Białoprądnicka,Mieszkanie,Nie,"Zapraszam do zapoznania się z ofertą sprzedaży mieszkania  dwupoziomowego  przy  ul. Białoprądnickiej ( Krowodrza- Prądnik Biały)  
 
  Oferta na wyłączność, dostępna tylko w naszym biurze.  
 
Mieszkanie:  
 
- pierwszy poziom: kuchnia ( z oknem) połączona z salonem, łazienka oraz przedpokój 
- poz...",https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-bialopradnicka-3-pokojowe-i3s3l0
3921620,615000,50.0,2,Kraków Nowa Huta,os. Sportowe,Mieszkanie,Nie,"Zapraszam do zapoznania się z ofertą sprzedaży mieszkania  dwupokojowego  w historycznej części Nowej Huty  w osiedlu Sportowym . 
 
 Oferta na wyłączność - dostępna tylko w naszym biurze.  
 
 Mieszkanie:  
 
- dwa duże pokoje, osobna kuchnia z oknem, łazienka z toaletą oraz przedpokój 
- stan dobr...",https://adresowo.pl/o/mieszkanie-krakow-nowa-huta-os-sportowe-2-pokojowe-u1t6v1
